Problem,Stationary,Selection,Crossover,Mutation,Replacement,BestScore,WorstScore,MeanScore,StdDev
Knapsack,0.0,UniversalRandom,OnePoint,SinglePoint,Random,240,197,223.43,7.622739770985339
Knapsack,0.1,UniversalRandom,OnePoint,SinglePoint,Random,240,181,219.55,9.720594104721362
Knapsack,0.2,UniversalRandom,OnePoint,SinglePoint,Random,240,180,215.37,11.627428361465116
Knapsack,0.3,UniversalRandom,OnePoint,SinglePoint,Random,240,177,213.43,11.953548355853979
Knapsack,0.4,UniversalRandom,OnePoint,SinglePoint,Random,240,156,210.538,13.178007275438233
Knapsack,0.5,UniversalRandom,OnePoint,SinglePoint,Random,240,150,206.71666666666667,16.122953770510918
Knapsack,0.6,UniversalRandom,OnePoint,SinglePoint,Random,240,104,200.7042857142857,22.023195833275683
Knapsack,0.7,UniversalRandom,OnePoint,SinglePoint,Random,240,95,193.075,29.476184145674914
Knapsack,0.8,UniversalRandom,OnePoint,SinglePoint,Random,240,82,187.7511111111111,32.285610994617414
Knapsack,0.9,UniversalRandom,OnePoint,SinglePoint,Random,240,-25,179.377,41.23383440937915
Knapsack,1.0,UniversalRandom,OnePoint,SinglePoint,Random,240,-147,152.5681818181818,93.6086751536691
Knapsack,0.0,UniversalRandom,OnePoint,SinglePoint,Elitism,237,208,222.04,6.547294915235659
Knapsack,0.1,UniversalRandom,OnePoint,SinglePoint,Elitism,240,198,222.905,6.651857714599462
Knapsack,0.2,UniversalRandom,OnePoint,SinglePoint,Elitism,240,182,217.08666666666667,11.813736501320443
Knapsack,0.3,UniversalRandom,OnePoint,SinglePoint,Elitism,240,175,214.4225,12.172074278058627
Knapsack,0.4,UniversalRandom,OnePoint,SinglePoint,Elitism,240,133,207.542,19.151652869014477
Knapsack,0.5,UniversalRandom,OnePoint,SinglePoint,Elitism,240,104,198.46666666666667,27.919253154709388
Knapsack,0.6,UniversalRandom,OnePoint,SinglePoint,Elitism,240,83,188.85857142857142,35.64695346354822
Knapsack,0.7,UniversalRandom,OnePoint,SinglePoint,Elitism,240,83,180.39375,40.58802712463169
Knapsack,0.8,UniversalRandom,OnePoint,SinglePoint,Elitism,240,83,174.37444444444444,42.279708634342775
Knapsack,0.9,UniversalRandom,OnePoint,SinglePoint,Elitism,240,80,169.135,43.45845616692351
Knapsack,1.0,UniversalRandom,OnePoint,SinglePoint,Elitism,240,-146,143.20181818181817,92.02296859090976
Knapsack,0.0,UniversalRandom,OnePoint,SinglePoint,DeterministCrowding,184,84,126.84,19.525544004889305
Knapsack,0.1,UniversalRandom,OnePoint,SinglePoint,DeterministCrowding,184,71,126.495,18.23602858885309
