Problem,Stationary,Selection,Crossover,Mutation,Replacement,BestScore,WorstScore,MeanScore,StdDev
Knapsack,0.0,UniversalRandom,OnePoint,SinglePoint,Random,198,170,185.79,5.390404868510773
Knapsack,0.1,UniversalRandom,OnePoint,SinglePoint,Random,198,160,183.57,6.835107421784729
Knapsack,0.2,UniversalRandom,OnePoint,SinglePoint,Random,198,150,181.08666666666667,8.161772929131958
Knapsack,0.3,UniversalRandom,OnePoint,SinglePoint,Random,198,145,179.325,8.832292935373045
Knapsack,0.4,UniversalRandom,OnePoint,SinglePoint,Random,198,145,177.158,9.80148837415509
Knapsack,0.5,UniversalRandom,OnePoint,SinglePoint,Random,198,124,173.59,12.978802545916032
Knapsack,0.6,UniversalRandom,OnePoint,SinglePoint,Random,198,102,168.56285714285715,17.93623398819087
Knapsack,0.7,UniversalRandom,OnePoint,SinglePoint,Random,198,81,162.48875,23.80400516225591
Knapsack,0.8,UniversalRandom,OnePoint,SinglePoint,Random,198,81,157.99444444444444,26.248724154009118
Knapsack,0.9,UniversalRandom,OnePoint,SinglePoint,Random,198,-17,152.209,32.08808133815364
Knapsack,1.0,UniversalRandom,OnePoint,SinglePoint,Random,198,-177,126.18181818181819,88.01081307317475
Knapsack,0.0,UniversalRandom,OnePoint,SinglePoint,Elitism,199,174,186.8,5.572298004459655
Knapsack,0.1,UniversalRandom,OnePoint,SinglePoint,Elitism,202,172,187.605,5.937613262606567
Knapsack,0.2,UniversalRandom,OnePoint,SinglePoint,Elitism,202,139,182.38333333333333,10.459176359667667
Knapsack,0.3,UniversalRandom,OnePoint,SinglePoint,Elitism,202,139,179.8225,11.12994532589417
Knapsack,0.4,UniversalRandom,OnePoint,SinglePoint,Elitism,202,117,173.896,16.36804844873206
Knapsack,0.5,UniversalRandom,OnePoint,SinglePoint,Elitism,202,95,166.45833333333334,23.148823813795794
Knapsack,0.6,UniversalRandom,OnePoint,SinglePoint,Elitism,202,89,159.00285714285715,28.519450840283564
Knapsack,0.7,UniversalRandom,OnePoint,SinglePoint,Elitism,202,78,152.6825,31.896801582431213
