Problem,Stationary,Selection,Crossover,Mutation,Replacement,BestScore,WorstScore,MeanScore,StdDev
SumFunction,1.0,UniversalRandom,Blend,SinglePoint,Elitism,745,516,603.81,33.83223464405065
SumFunction,1.0,UniversalRandom,Blend,SinglePoint,DeterministCrowding,701,550,609.76,31.914696908914532
SumFunction,1.0,UniversalRandom,Blend,SinglePoint,RestrictedTournament,767,537,613.66,41.10941792855066
SumFunction,1.0,UniversalRandom,SimulatedBinary,SinglePoint,Random,704,555,614.75,30.998981736290446
SumFunction,1.0,UniversalRandom,SimulatedBinary,SinglePoint,Elitism,696,517,612.12,33.945077446196564
SumFunction,1.0,UniversalRandom,SimulatedBinary,SinglePoint,DeterministCrowding,727,535,616.05,36.84594601002582
SumFunction,1.0,UniversalRandom,SimulatedBinary,SinglePoint,RestrictedTournament,684,543,613.19,29.581489912689413
SumFunction,0.0,Tournament,Arithmetic,SinglePoint,Random,1245.3610656448172,1142.410865693548,1215.1454598660139,20.432325455399358
SumFunction,0.1,Tournament,Arithmetic,SinglePoint,Random,1122.8093037040112,963.9977727921589,1055.9220963006906,35.81546259715735
SumFunction,0.2,Tournament,Arithmetic,SinglePoint,Random,1172.5968168223037,986.2092157573632,1085.8727496134936,40.695796801651696
SumFunction,0.3,Tournament,Arithmetic,SinglePoint,Random,1150.6334757231648,962.2976738262188,1078.6869612664116,34.626930444586925
SumFunction,0.4,Tournament,Arithmetic,SinglePoint,Random,906.5187054092977,622.2823448231363,749.9580486701835,49.550804855627916
SumFunction,0.5,Tournament,Arithmetic,SinglePoint,Random,868.9620936336231,600.8719006542857,745.3175141152135,50.122736103164115
SumFunction,0.6,Tournament,Arithmetic,SinglePoint,Random,877.0501106447159,602.7351917549577,763.1136602931817,61.065606129466914
SumFunction,0.7,Tournament,Arithmetic,SinglePoint,Random,900.9350676875733,606.7084050194077,776.9908542525726,55.49786392184783
SumFunction,0.8,Tournament,Arithmetic,SinglePoint,Random,942.602383157294,575.156498018554,785.628987214737,60.640174561095115
SumFunction,0.9,Tournament,Arithmetic,SinglePoint,Random,921.6526668343363,707.0,802.5454460492181,44.663474321613215
SumFunction,1.0,Tournament,Arithmetic,SinglePoint,Random,695,554,614.55,32.818563052152065
SumFunction,0.0,Tournament,Arithmetic,SinglePoint,Elitism,1245.6021232319506,1149.9813073584087,1213.7525810832876,19.655849166050995
SumFunction,0.1,Tournament,Arithmetic,SinglePoint,Elitism,1250.0,1240.9368546069907,1249.6854527322655,1.3164568346651808
SumFunction,0.2,Tournament,Arithmetic,SinglePoint,Elitism,1250.0,1236.052521072087,1249.720442541562,1.749354942841013
SumFunction,0.3,Tournament,Arithmetic,SinglePoint,Elitism,1250.0,1237.2893957490323,1249.4517859234702,2.1168729586367414
SumFunction,0.4,Tournament,Arithmetic,SinglePoint,Elitism,1249.6813828791642,1171.6274496909996,1222.0834971031597,17.229917535003917
SumFunction,0.5,Tournament,Arithmetic,SinglePoint,Elitism,1248.710788656894,1149.9515583331672,1211.3868454450064,18.67148992896166
SumFunction,0.6,Tournament,Arithmetic,SinglePoint,Elitism,1216.9035385139987,1084.3269734833505,1165.6295249167438,28.24171666804903
SumFunction,0.7,Tournament,Arithmetic,SinglePoint,Elitism,1158.6851535620642,988.4238629183683,1089.6576835895946,33.30919959594805
SumFunction,0.8,Tournament,Arithmetic,SinglePoint,Elitism,1158.2397831053465,1013.9104095169032,1094.703889823637,26.972296457717157
SumFunction,0.9,Tournament,Arithmetic,SinglePoint,Elitism,1076.5017770701043,886.0,968.3483538361562,37.26748838109205
SumFunction,1.0,Tournament,Arithmetic,SinglePoint,Elitism,707,533,609.03,34.527534028085554
SumFunction,0.0,Tournament,Arithmetic,SinglePoint,DeterministCrowding,1250.0,1250.0,1250.0,0.0
SumFunction,0.1,Tournament,Arithmetic,SinglePoint,DeterministCrowding,1250.0,1250.0,1250.0,0.0
SumFunction,0.2,Tournament,Arithmetic,SinglePoint,DeterministCrowding,1250.0,1241.815822213527,1249.8598120509046,0.8940970445549876
SumFunction,0.3,Tournament,Arithmetic,SinglePoint,DeterministCrowding,1250.0,1236.8206075815776,1249.6395443663641,1.9020635805135624
SumFunction,0.4,Tournament,Arithmetic,SinglePoint,DeterministCrowding,1250.0,1211.4354018757535,1247.2218982021955,6.233052026113346
SumFunction,0.5,Tournament,Arithmetic,SinglePoint,DeterministCrowding,1250.0,1197.9106457896776,1243.5425781310098,10.512092290727045
SumFunction,0.6,Tournament,Arithmetic,SinglePoint,DeterministCrowding,1250.0,1207.5065424776687,1237.5112992233485,10.118920669557722
SumFunction,0.7,Tournament,Arithmetic,SinglePoint,DeterministCrowding,1250.0,1170.8680649203159,1219.042053221375,17.273998895218476
SumFunction,0.8,Tournament,Arithmetic,SinglePoint,DeterministCrowding,1250.0,1153.2789736379148,1216.6432437073008,18.787278915844652
SumFunction,0.9,Tournament,Arithmetic,SinglePoint,DeterministCrowding,1182.0,1034.0,1118.1440008093107,32.09624182286487
SumFunction,1.0,Tournament,Arithmetic,SinglePoint,DeterministCrowding,748,509,608.8,42.89027579272203
SumFunction,0.0,Tournament,Arithmetic,SinglePoint,RestrictedTournament,1250.0,1249.99991131569,1249.999999113157,8.868430995789822e-06
SumFunction,0.1,Tournament,Arithmetic,SinglePoint,RestrictedTournament,1250.0,1215.20798238215,1246.507228148625,6.567537059787305
SumFunction,0.2,Tournament,Arithmetic,SinglePoint,RestrictedTournament,1250.0,1195.8293625551044,1238.2803190155528,11.92833403449582
SumFunction,0.3,Tournament,Arithmetic,SinglePoint,RestrictedTournament,1250.0,1212.5870420912634,1240.958061056095,9.592805099057655
SumFunction,0.4,Tournament,Arithmetic,SinglePoint,RestrictedTournament,1178.6774290651354,1037.708872046046,1102.2494888412582,33.15412671225249
SumFunction,0.5,Tournament,Arithmetic,SinglePoint,RestrictedTournament,1140.3130246869532,972.9369402536864,1068.0035329294633,32.47633665568933
SumFunction,0.6,Tournament,Arithmetic,SinglePoint,RestrictedTournament,1111.0492519652016,928.8223050748759,1014.3921342361066,35.907661455912944
SumFunction,0.7,Tournament,Arithmetic,SinglePoint,RestrictedTournament,1092.2072169984658,854.7507536469585,951.8817659377545,39.34549710851211
SumFunction,0.8,Tournament,Arithmetic,SinglePoint,RestrictedTournament,1067.6133059626468,863.5889147898885,959.1542318254959,36.21245096974938
SumFunction,0.9,Tournament,Arithmetic,SinglePoint,RestrictedTournament,984.0,769.0,892.9117029403045,46.150263740645904
SumFunction,1.0,Tournament,Arithmetic,SinglePoint,RestrictedTournament,714,541,614.01,36.450463133220445
SumFunction,1.0,Tournament,Blend,SinglePoint,Random,788,526,605.9,36.16558439939129
SumFunction,1.0,Tournament,Blend,SinglePoint,Elitism,731,541,618.04,34.170079652150996
SumFunction,1.0,Tournament,Blend,SinglePoint,DeterministCrowding,739,523,611.21,35.41280228471852
SumFunction,0.9,Tournament,Blend,SinglePoint,RestrictedTournament,1185.644188613379,826.8886601757938,973.8620620025813,69.08254539461849
SumFunction,1.0,Tournament,Blend,SinglePoint,RestrictedTournament,731,556,614.73,33.975586897808036
SumFunction,1.0,Tournament,SimulatedBinary,SinglePoint,Random,731,547,612.76,34.40786849168972
SumFunction,1.0,Tournament,SimulatedBinary,SinglePoint,Elitism,730,538,612.68,36.025770798362686
SumFunction,1.0,Tournament,SimulatedBinary,SinglePoint,DeterministCrowding,716,524,613.85,38.546148388075764
SumFunction,1.0,Tournament,SimulatedBinary,SinglePoint,RestrictedTournament,680,516,604.33,30.784377186941413
SumFunction,0.0,Proportional,Arithmetic,SinglePoint,Random,773.7869177966669,586.3862427635377,679.0048297537875,39.615140668589156
SumFunction,0.1,Proportional,Arithmetic,SinglePoint,Random,766.4864594012661,568.473744238619,679.525915497759,45.36667210215309
SumFunction,0.2,Proportional,Arithmetic,SinglePoint,Random,873.4649265113818,597.827323954098,691.5461724100271,48.376160651180975
SumFunction,0.3,Proportional,Arithmetic,SinglePoint,Random,803.0104695574577,616.5166520450747,699.4091987389052,33.83266260436288
SumFunction,0.4,Proportional,Arithmetic,SinglePoint,Random,816.674944939568,608.9358698539054,715.4211064079184,42.81401041819367
SumFunction,0.5,Proportional,Arithmetic,SinglePoint,Random,879.005145500362,649.1249377158396,755.2908046101702,47.89308528357461
SumFunction,0.6,Proportional,Arithmetic,SinglePoint,Random,882.1165863220468,655.8708967163465,791.6369876514243,46.18842349481385
SumFunction,0.7,Proportional,Arithmetic,SinglePoint,Random,971.8069805801374,683.452166329098,858.0104016255526,56.17960490569937
SumFunction,0.8,Proportional,Arithmetic,SinglePoint,Random,993.9796399138278,637.2384852780758,851.0028920594322,60.96521086509699
SumFunction,0.9,Proportional,Arithmetic,SinglePoint,Random,893.4071544839627,712.0473870320229,792.7876047360961,40.09028775199419
SumFunction,1.0,Proportional,Arithmetic,SinglePoint,Random,699,541,606.39,33.34511761393066
SumFunction,1.0,Proportional,Arithmetic,SinglePoint,Elitism,731,542,615.38,37.81127510746663
SumFunction,1.0,Proportional,Arithmetic,SinglePoint,DeterministCrowding,692,533,605.08,34.85371449560885
SumFunction,0.9,Proportional,Arithmetic,SinglePoint,RestrictedTournament,989.0,814.0,884.0091849995523,37.20722051509242
SumFunction,1.0,Proportional,Arithmetic,SinglePoint,RestrictedTournament,705,530,617.31,34.19808459400892
SumFunction,1.0,Proportional,Blend,SinglePoint,Random,736,531,610.05,39.00929052770311
SumFunction,1.0,Proportional,Blend,SinglePoint,Elitism,721,544,609.48,36.30022956768547
SumFunction,1.0,Proportional,Blend,SinglePoint,DeterministCrowding,705,539,614.09,36.92938798531188
SumFunction,1.0,Proportional,Blend,SinglePoint,RestrictedTournament,751,520,608.46,35.85758023913578
SumFunction,1.0,Proportional,SimulatedBinary,SinglePoint,Random,714,539,614.2,36.16935473881477
SumFunction,1.0,Proportional,SimulatedBinary,SinglePoint,Elitism,701,537,613.56,32.80192159929141
SumFunction,1.0,Proportional,SimulatedBinary,SinglePoint,DeterministCrowding,722,536,611.6,34.26574695145889
SumFunction,1.0,Proportional,SimulatedBinary,SinglePoint,RestrictedTournament,785,527,619.25,40.85534348049335
SumFunction,0.0,NegativeAssortative,Arithmetic,SinglePoint,Random,231.60979824901747,101.55870491910409,165.4747100690299,26.61663751452443
SumFunction,0.1,NegativeAssortative,Arithmetic,SinglePoint,Random,231.04994267179183,100.90310167828676,168.36796280554734,26.15939093456934
SumFunction,0.2,NegativeAssortative,Arithmetic,SinglePoint,Random,244.72053886396324,100.53268645183313,166.00028728608078,28.396195606810657
SumFunction,0.3,NegativeAssortative,Arithmetic,SinglePoint,Random,243.5352790371095,118.26074851010333,164.22260210447263,26.051771134696562
SumFunction,0.4,NegativeAssortative,Arithmetic,SinglePoint,Random,262.73458625373667,83.57253766683407,167.2220476774516,30.32957461050249
SumFunction,0.5,NegativeAssortative,Arithmetic,SinglePoint,Random,247.0095104282517,89.4219616292764,160.3342379538323,31.189163989374133
SumFunction,0.6,NegativeAssortative,Arithmetic,SinglePoint,Random,238.943867143356,97.9507391127053,158.14860140408229,31.897901105755345
SumFunction,0.7,NegativeAssortative,Arithmetic,SinglePoint,Random,240.54795720822875,85.14341887525035,148.687862264184,30.65337331954918
SumFunction,0.8,NegativeAssortative,Arithmetic,SinglePoint,Random,221.4331826403325,74.11345756925238,147.17653399768696,33.32139445643842
SumFunction,0.9,NegativeAssortative,Arithmetic,SinglePoint,Random,293.836297046013,64.20177137853247,150.21647119201359,45.449294290954114
SumFunction,1.0,NegativeAssortative,Arithmetic,SinglePoint,Random,695,530,617.87,35.39150585760214
SumFunction,0.0,NegativeAssortative,Arithmetic,SinglePoint,Elitism,240.76512847188954,97.31455154646726,163.58672613565653,28.543377673282517
SumFunction,0.1,NegativeAssortative,Arithmetic,SinglePoint,Elitism,765.6348788616144,611.1038891196416,677.1446250479728,31.36310407611885
SumFunction,0.2,NegativeAssortative,Arithmetic,SinglePoint,Elitism,770.4897695214597,608.0500015355456,681.114295627741,35.86649800684304
SumFunction,0.3,NegativeAssortative,Arithmetic,SinglePoint,Elitism,771.5986594056628,592.0718205860998,681.8736174612441,34.14293439523419
SumFunction,0.4,NegativeAssortative,Arithmetic,SinglePoint,Elitism,812.6396160712051,592.4587834648639,684.110723527528,38.24070299786379
SumFunction,0.5,NegativeAssortative,Arithmetic,SinglePoint,Elitism,776.5426999300705,545.6831147572428,674.4705900365767,50.17499059494586
SumFunction,0.6,NegativeAssortative,Arithmetic,SinglePoint,Elitism,765.6939691776885,558.5524968426978,678.6249623142016,42.405514562837304
SumFunction,0.7,NegativeAssortative,Arithmetic,SinglePoint,Elitism,809.1034309410438,618.1239853089191,718.8060226332545,40.87528197164789
SumFunction,0.8,NegativeAssortative,Arithmetic,SinglePoint,Elitism,859.5486846798226,590.1724680942605,724.0743748936794,52.51623275277259
SumFunction,0.9,NegativeAssortative,Arithmetic,SinglePoint,Elitism,855.9737492901859,675.3894661242958,762.7097213917593,35.9268580442629
SumFunction,1.0,NegativeAssortative,Arithmetic,SinglePoint,Elitism,700,540,609.03,33.260664728502014
SumFunction,0.0,NegativeAssortative,Arithmetic,SinglePoint,DeterministCrowding,692.4555917654702,543.5829721624525,616.7131012113086,33.376379937268204
SumFunction,0.1,NegativeAssortative,Arithmetic,SinglePoint,DeterministCrowding,707.7199811855817,540.4080508528197,616.0569158218092,33.366149345429704
SumFunction,0.2,NegativeAssortative,Arithmetic,SinglePoint,DeterministCrowding,762.8141501013978,538,610.0306215716736,42.96968809433623
SumFunction,0.3,NegativeAssortative,Arithmetic,SinglePoint,DeterministCrowding,707.580626394045,528.390863455462,607.3783521698681,35.96287930333572
SumFunction,0.4,NegativeAssortative,Arithmetic,SinglePoint,DeterministCrowding,706,541.689182234553,603.1096689553676,30.046951376531343
SumFunction,0.5,NegativeAssortative,Arithmetic,SinglePoint,DeterministCrowding,763.2984062703986,508.6659771447074,594.4846166277285,41.396261788034444
SumFunction,0.6,NegativeAssortative,Arithmetic,SinglePoint,DeterministCrowding,686.4635145289841,496,583.7177480578873,36.90061007044104
SumFunction,0.7,NegativeAssortative,Arithmetic,SinglePoint,DeterministCrowding,664.6475120537452,441.4363404477117,559.5005802046774,44.85386290153314
SumFunction,0.8,NegativeAssortative,Arithmetic,SinglePoint,DeterministCrowding,704,425,567.0510145142626,46.00196139942509
