function_id,best,worst,mean,median,std_dev
1,-5671904976782.904,-3920579558856.6978,-4990266857892.564,-5110412182392.531,453080032629.1563
2,-2.6219723460718374e+191,-8.714653848059178e+175,-1.9769955557357466e+190,-4.65023301365867e+183,inf
3,-1214784.277680572,-652631.8822236164,-924401.5025894096,-938565.7382037458,142709.21068104001
4,-279693.7636463408,-127846.74660933504,-221841.27026625,-230166.73543235013,38829.02337195422
5,-2877.5781735372634,-2479.1446374246916,-2705.575270165963,-2702.1640555285157,101.15982464449259
6,-776.060380641336,-733.733704594767,-750.5723063323316,-749.7197953112986,10.549909249437988
7,-12532.697003973593,-10054.048779135068,-11377.851002142004,-11462.037293936566,689.4185068166645
8,-3448.0914044125075,-2940.9461085927687,-3104.2126383873488,-3096.6898486005725,117.39918589080712
9,-119975.35241527883,-70276.5918475785,-87624.96081892335,-85625.66114301268,11318.563245862764
10,-33268.12919917991,-29849.300780783415,-31236.44364272442,-31106.08370410378,842.6931766718477
