function_id,best,worst,mean,median,std_dev
1,-548692096857.3918,-101718050675.25452,-325898117752.66626,-317128136828.771,107418632503.76122
2,-6.3724914464331545e+134,-8.794264617060415e+116,-3.1896272185376424e+133,-2.2799727268576062e+125,1.3887754882495654e+134
3,-675941.6751293804,-382923.0797483548,-514070.0441230632,-525615.4584507933,77380.38997343293
4,-5246.691286420535,-2732.139150155536,-3994.4180530165386,-3952.6097475155734,757.4775412741042
5,-1812.5902346349094,-1339.2304028319081,-1647.2790791061684,-1683.3309903856218,120.50595151644443
6,-711.0905113475926,-671.4868261312571,-691.4130026763355,-692.8363458029883,10.772687892812705
7,-3141.36532005807,-2146.95019610631,-2492.584504395213,-2376.056651487727,254.06403860467262
8,-2361.9140791405252,-1597.4635430551084,-1823.7014426203373,-1796.7069808663937,166.47457668252434
9,-89032.29891823047,-41192.46533772755,-59479.626357933426,-56756.059997264194,14812.028964594245
10,-23379.395101271904,-17239.36735376549,-21339.932366034933,-21482.218592334226,1303.984129852305
