FunctionIndex,Stationary,Selection,Crossover,Mutation,Replacement,BestScore,WorstScore,MeanScore,StdDev
0,0.0,UniversalRandom,Arithmetic,SinglePoint,Random,-1982180894773.2434,-2819673803408.3247,-2400561078497.5317,163852600176.77823
0,0.1,UniversalRandom,Arithmetic,SinglePoint,Random,-2151545981194.3367,-2902276032939.4946,-2505967693550.5986,177672996821.2838
0,0.2,UniversalRandom,Arithmetic,SinglePoint,Random,-1969101900866.905,-2960301518025.5737,-2570421219342.1577,196445332166.8063
0,0.3,UniversalRandom,Arithmetic,SinglePoint,Random,-2138915453599.8267,-3154440745000.007,-2687097210713.3105,232458472899.3077
0,0.4,UniversalRandom,Arithmetic,SinglePoint,Random,-2042789553354.0933,-3385522508554.8833,-2786731976057.1733,226093583707.69775
0,0.5,UniversalRandom,Arithmetic,SinglePoint,Random,-2304480930645.12,-3543964642851.9736,-2953472229267.4067,266200139543.12277
0,0.6,UniversalRandom,Arithmetic,SinglePoint,Random,-2417125752004.8506,-4092544048412.204,-3088282416250.208,328235926855.9698
0,0.7,UniversalRandom,Arithmetic,SinglePoint,Random,-2216826660684.1953,-4115709217225.7524,-3121051612524.753,333978271135.9581
0,0.8,UniversalRandom,Arithmetic,SinglePoint,Random,-2336249148965.2866,-4681388926047.67,-3445828170015.8047,410655453676.93994
0,0.9,UniversalRandom,Arithmetic,SinglePoint,Random,-2748948359620.8765,-5046316637284.948,-3645211051056.4233,491237297660.44617
0,1.0,UniversalRandom,Arithmetic,SinglePoint,Random,-4883419897204.273,-7239524300374.57,-6261545652066.112,412801250298.62744
0,0.0,UniversalRandom,Arithmetic,SinglePoint,Elitism,-1968897839874.3408,-2847154885835.1367,-2419778031859.193,206762236895.70636
0,0.1,UniversalRandom,Arithmetic,SinglePoint,Elitism,-1926860639874.8176,-2906045422726.314,-2428277479350.232,192596564880.94968
0,0.2,UniversalRandom,Arithmetic,SinglePoint,Elitism,-1926283702168.1738,-2865532216391.6553,-2447415708265.074,215300700829.33975
0,0.3,UniversalRandom,Arithmetic,SinglePoint,Elitism,-1731877072846.086,-3262487942198.101,-2570421930907.4995,269684330219.77856
0,0.4,UniversalRandom,Arithmetic,SinglePoint,Elitism,-2131994569269.4497,-3578919580840.1855,-2655536896445.501,249463013826.6346
0,0.5,UniversalRandom,Arithmetic,SinglePoint,Elitism,-1913712002441.3225,-3583136955569.7017,-2744110297701.394,304681460613.04816
0,0.6,UniversalRandom,Arithmetic,SinglePoint,Elitism,-2279526963355.7734,-4001181965291.8184,-2902634826880.921,317658811384.5077
0,0.7,UniversalRandom,Arithmetic,SinglePoint,Elitism,-2305421895713.34,-3942564729257.8394,-2997493711592.079,352510428288.35
0,0.8,UniversalRandom,Arithmetic,SinglePoint,Elitism,-2465638951120.8984,-4373926692088.203,-3310262555984.6426,401315346537.9458
0,0.9,UniversalRandom,Arithmetic,SinglePoint,Elitism,-2597571115398.562,-5448377243710.887,-3591026635400.9404,548043177332.25323
0,1.0,UniversalRandom,Arithmetic,SinglePoint,Elitism,-5249771673239.666,-7250689429507.697,-6300420843560.395,428670967418.0419
0,0.0,UniversalRandom,Arithmetic,SinglePoint,DeterministCrowding,-1811052113427.0383,-2873701584621.045,-2316868312464.5474,205136409930.7857
0,0.1,UniversalRandom,Arithmetic,SinglePoint,DeterministCrowding,-1871680101680.7021,-3037214685707.949,-2386704620460.9043,200396875278.97134
0,0.2,UniversalRandom,Arithmetic,SinglePoint,DeterministCrowding,-1869220240514.6238,-2890859328122.4497,-2396540446969.8457,211312125668.80167
0,0.3,UniversalRandom,Arithmetic,SinglePoint,DeterministCrowding,-2109619973648.3533,-3117720567584.9253,-2552931275666.073,201402995522.27603
0,0.4,UniversalRandom,Arithmetic,SinglePoint,DeterministCrowding,-1931491282740.53,-3080918619639.3867,-2580579450221.25,263195065926.5252
0,0.5,UniversalRandom,Arithmetic,SinglePoint,DeterministCrowding,-2206269745199.8203,-3431745188403.4634,-2774800696896.351,240097994807.56192
0,0.6,UniversalRandom,Arithmetic,SinglePoint,DeterministCrowding,-2152000181478.6074,-3986238211560.319,-2994097798367.245,367494762131.24835
0,0.7,UniversalRandom,Arithmetic,SinglePoint,DeterministCrowding,-2522501183128.6255,-4856533829268.224,-3255245194932.315,423232383840.4311
0,0.8,UniversalRandom,Arithmetic,SinglePoint,DeterministCrowding,-2838643714088.778,-6534538339841.672,-4182222502285.193,626883169560.6871
0,0.9,UniversalRandom,Arithmetic,SinglePoint,DeterministCrowding,-3366755121532.119,-8007086324005.452,-5145536512715.312,882714689495.62
0,1.0,UniversalRandom,Arithmetic,SinglePoint,DeterministCrowding,-5218855135948.942,-7319825854641.217,-6234168457717.386,439608249671.60205
0,0.0,UniversalRandom,Arithmetic,SinglePoint,RestrictedTournament,-1925872497426.8909,-2933554596607.492,-2457465266521.2188,178858830520.52957
0,0.1,UniversalRandom,Arithmetic,SinglePoint,RestrictedTournament,-2116293730681.8164,-3064215751122.105,-2496618109214.3687,181761482434.411
0,0.2,UniversalRandom,Arithmetic,SinglePoint,RestrictedTournament,-1998865273567.84,-3119622791790.61,-2476686386728.472,192073585665.18228
0,0.3,UniversalRandom,Arithmetic,SinglePoint,RestrictedTournament,-2201744583936.4473,-2875987349099.3223,-2508837866201.052,168683799897.75
0,0.4,UniversalRandom,Arithmetic,SinglePoint,RestrictedTournament,-2057994114387.5254,-3110450110265.849,-2536402731915.4004,187035844270.75433
0,0.5,UniversalRandom,Arithmetic,SinglePoint,RestrictedTournament,-2144179570897.0088,-2972479638770.917,-2618952088519.4404,185625032180.73727
0,0.6,UniversalRandom,Arithmetic,SinglePoint,RestrictedTournament,-2120153032536.5327,-3104813024913.9473,-2624689095375.8647,210707748571.42218
0,0.7,UniversalRandom,Arithmetic,SinglePoint,RestrictedTournament,-2187739098425.1086,-3131337653154.4634,-2645163311769.4326,205781097376.8993
0,0.8,UniversalRandom,Arithmetic,SinglePoint,RestrictedTournament,-2063325426153.133,-3261755321162.8413,-2686730355157.942,217039467423.987
0,0.9,UniversalRandom,Arithmetic,SinglePoint,RestrictedTournament,-2112442538902.8638,-3228984447307.6704,-2707178097109.2964,212320390766.18866
0,1.0,UniversalRandom,Arithmetic,SinglePoint,RestrictedTournament,-5021258007073.407,-7138408155850.481,-6250824466358.944,449773315051.91644
0,0.0,UniversalRandom,Blend,SinglePoint,Random,-553526504.3228916,-102895658043.59209,-11180324269.878942,15298631472.966911
0,0.1,UniversalRandom,Blend,SinglePoint,Random,-81367855608.38028,-899740429978.3661,-282931395828.15295,148612135911.76294
0,0.2,UniversalRandom,Blend,SinglePoint,Random,-217515223725.83694,-1824037751346.3213,-694880367637.0206,271639260998.04324
0,0.3,UniversalRandom,Blend,SinglePoint,Random,-737592877255.5903,-2941968922225.4946,-1655402918287.605,415783727469.1057
0,0.4,UniversalRandom,Blend,SinglePoint,Random,-1068176549902.4147,-3757845910968.5,-2174944861501.891,536851639048.4766
0,0.5,UniversalRandom,Blend,SinglePoint,Random,-1867519772617.1238,-5206795471246.454,-3012040740574.0728,663812952425.3519
0,0.6,UniversalRandom,Blend,SinglePoint,Random,-2110627282047.6506,-5748426979191.719,-3739534054300.8667,753887830264.1371
0,0.7,UniversalRandom,Blend,SinglePoint,Random,-2496229787457.477,-5655633675929.311,-4069946942219.8247,713908123887.2375
0,0.8,UniversalRandom,Blend,SinglePoint,Random,-3142495422009.953,-6745735127497.081,-4799330338111.778,785745609834.1869
0,0.9,UniversalRandom,Blend,SinglePoint,Random,-3798385075637.1465,-7187948691632.465,-5715587347541.975,748828665280.6404
0,1.0,UniversalRandom,Blend,SinglePoint,Random,-5189914369203.42,-7239285694502.126,-6208345893297.31,449312306793.99005
0,0.0,UniversalRandom,Blend,SinglePoint,Elitism,-684253474.334266,-87240440620.75592,-11341505869.15889,13308092321.122246
0,0.1,UniversalRandom,Blend,SinglePoint,Elitism,-226343373616.2029,-1698302055076.4866,-855531448768.2212,292142275487.41345
0,0.2,UniversalRandom,Blend,SinglePoint,Elitism,-415610315164.41266,-3741326734827.3657,-1158059837852.9658,455379151423.9718
0,0.3,UniversalRandom,Blend,SinglePoint,Elitism,-543748983891.3272,-3594105806242.649,-1435466597930.3562,504022620018.6985
0,0.4,UniversalRandom,Blend,SinglePoint,Elitism,-747872720016.7158,-4471293604317.16,-1649524039027.7744,552218299674.5986
0,0.5,UniversalRandom,Blend,SinglePoint,Elitism,-781852173080.6484,-5240867482153.056,-2164578596808.5684,779760507094.4677
0,0.6,UniversalRandom,Blend,SinglePoint,Elitism,-1271253713210.5896,-5385554159584.319,-3162293993018.0757,1023965931339.7933
0,0.7,UniversalRandom,Blend,SinglePoint,Elitism,-2225963524791.5405,-6262761939301.624,-4084988129810.3857,905544312228.1556
0,0.8,UniversalRandom,Blend,SinglePoint,Elitism,-3089972523220.91,-6577155395175.697,-5307707941002.372,626486167010.699
0,0.9,UniversalRandom,Blend,SinglePoint,Elitism,-3979808198347.153,-6929783090847.015,-5687269551181.627,556399749152.6688
0,1.0,UniversalRandom,Blend,SinglePoint,Elitism,-5235940350312.559,-7396310852352.483,-6288659642580.534,442550626251.34656
0,0.0,UniversalRandom,Blend,SinglePoint,DeterministCrowding,-253323247158.54904,-3688755239882.307,-1092744801698.5764,675177932276.8694
0,0.1,UniversalRandom,Blend,SinglePoint,DeterministCrowding,-522709891353.945,-3838539542568.615,-1601044828390.0833,741063839794.8076
0,0.2,UniversalRandom,Blend,SinglePoint,DeterministCrowding,-559214913722.0023,-4363091969312.1216,-1770766050758.863,842074441549.8264
0,0.3,UniversalRandom,Blend,SinglePoint,DeterministCrowding,-976345902392.5323,-4850310353859.45,-2568141849282.004,882656144084.6315
0,0.4,UniversalRandom,Blend,SinglePoint,DeterministCrowding,-1335381159908.7568,-4853578474530.335,-2945106108411.536,881377292928.5754
0,0.5,UniversalRandom,Blend,SinglePoint,DeterministCrowding,-1646143035524.8628,-5384161896126.115,-3719799694324.6743,852742849417.714
0,0.6,UniversalRandom,Blend,SinglePoint,DeterministCrowding,-3045261720630.6694,-6232341496238.659,-4782921059785.497,738335803279.6957
0,0.7,UniversalRandom,Blend,SinglePoint,DeterministCrowding,-2313811333256.804,-6469917239622.379,-5031508786622.37,795160366507.3873
0,0.8,UniversalRandom,Blend,SinglePoint,DeterministCrowding,-4524835080261.723,-7210327503458.414,-6035419416199.9,581807953493.5544
0,0.9,UniversalRandom,Blend,SinglePoint,DeterministCrowding,-4633624210363.031,-8013002567992.315,-6427055898169.002,623299857089.4684
