FunctionIndex,Stationary,Selection,Crossover,Mutation,Replacement,BestScore,WorstScore,MeanScore,StdDev
1,0.0,UniversalRandom,Arithmetic,SinglePoint,Random,-2317212268457.7485,-3234155366475.2314,-2691841135823.1875,263773910228.83228
1,0.1,UniversalRandom,Arithmetic,SinglePoint,Random,-2390857264687.0186,-3118556454575.6323,-2797115842616.4717,249612010169.75732
1,0.2,UniversalRandom,Arithmetic,SinglePoint,Random,-2419026437098.434,-3391999899293.178,-2797291582986.0474,282596768034.5198
1,0.3,UniversalRandom,Arithmetic,SinglePoint,Random,-2763553974529.2793,-3333498563115.363,-3049423833054.023,186785075892.76044
1,0.4,UniversalRandom,Arithmetic,SinglePoint,Random,-2580742329588.6504,-3460373617409.4707,-3006929481156.1797,264831227684.87698
1,0.5,UniversalRandom,Arithmetic,SinglePoint,Random,-2426105304381.1626,-3473876993796.271,-2975367042304.9863,291108799816.713
1,0.6,UniversalRandom,Arithmetic,SinglePoint,Random,-2721720924719.7896,-3807344418963.428,-3290156296202.5596,326545428292.1534
1,0.7,UniversalRandom,Arithmetic,SinglePoint,Random,-2592521260864.5513,-4120417993551.264,-3248798451444.489,420587180974.63464
1,0.8,UniversalRandom,Arithmetic,SinglePoint,Random,-2763840432099.3706,-4619689365602.8545,-3688511624336.963,584778021273.3826
1,0.9,UniversalRandom,Arithmetic,SinglePoint,Random,-3248905086593.216,-4317950540995.8003,-3793156427566.8755,352417949458.308
1,1.0,UniversalRandom,Arithmetic,SinglePoint,Random,-5121185312033.852,-6822453123712.349,-6010065950444.527,581522152149.0365
1,0.0,UniversalRandom,Arithmetic,SinglePoint,Elitism,-2450472502708.9175,-3339300464453.822,-2824902641345.668,272169955004.8246
1,0.1,UniversalRandom,Arithmetic,SinglePoint,Elitism,-2598200802620.668,-3018824623411.864,-2810985030294.305,141403154336.1798
1,0.2,UniversalRandom,Arithmetic,SinglePoint,Elitism,-2536021583919.3887,-3148955022078.3794,-2864980318919.799,197585741631.21152
1,0.3,UniversalRandom,Arithmetic,SinglePoint,Elitism,-2463795306498.996,-3351831213273.0615,-2880675445856.673,250842045202.32367
1,0.4,UniversalRandom,Arithmetic,SinglePoint,Elitism,-2474435069711.93,-3405033115987.4863,-2861194159978.0933,288747528131.8217
1,0.5,UniversalRandom,Arithmetic,SinglePoint,Elitism,-2474388729439.7744,-3612455704987.188,-3081902452532.5015,385646513880.41486
1,0.6,UniversalRandom,Arithmetic,SinglePoint,Elitism,-2578167642515.6924,-3483310744380.5654,-3148002201127.9814,314643752048.9778
