Problem,Stationary,Selection,Crossover,Mutation,Replacement,BestScore,WorstScore,MeanScore,StdDev
SumFunction,0.0,UniversalRandom,Arithmetic,SinglePoint,Random,-0.11177135209627047,-0.3526153724613802,-0.2154929085354309,0.0489215357533138
SumFunction,0.1,UniversalRandom,Arithmetic,SinglePoint,Random,-0.19507310634035846,-0.5278698461821287,-0.32293526864935945,0.061226097624337186
SumFunction,0.2,UniversalRandom,Arithmetic,SinglePoint,Random,-0.31205563476818343,-0.7611570237164293,-0.4814322595771987,0.10271106201299457
SumFunction,0.3,UniversalRandom,Arithmetic,SinglePoint,Random,-0.2316140977115699,-0.8317163728281545,-0.4702320254821707,0.11744607109154626
SumFunction,0.4,UniversalRandom,Arithmetic,SinglePoint,Random,-0.4655338943854654,-1.4285900084730576,-0.7890152525645775,0.211615360811482
SumFunction,0.5,UniversalRandom,Arithmetic,SinglePoint,Random,-0.6459287761761909,-4.597835948948203,-1.4825273118628763,0.6080914995956003
SumFunction,0.6,UniversalRandom,Arithmetic,SinglePoint,Random,-1.2814592829287672,-20.046553822608796,-4.600331926419448,3.0019798646115294
SumFunction,0.7,UniversalRandom,Arithmetic,SinglePoint,Random,-4.703178943716236,-53.58756128295527,-23.321240488308685,12.090471016833375
SumFunction,0.8,UniversalRandom,Arithmetic,SinglePoint,Random,-5.285066819521843,-57.218624214137236,-20.531378322212312,11.432183194989573
SumFunction,0.9,UniversalRandom,Arithmetic,SinglePoint,Random,-104.23908054632943,-262.91218426822843,-193.69059168182892,33.72704336584443
SumFunction,1.0,UniversalRandom,Arithmetic,SinglePoint,Random,-294,-457,-390.46,34.279428115404606
SumFunction,0.0,UniversalRandom,Arithmetic,SinglePoint,Elitism,-0.1225551918931704,-0.43161433449443254,-0.2155801903409432,0.04930079804702062
SumFunction,0.1,UniversalRandom,Arithmetic,SinglePoint,Elitism,-0.005991267045515579,-0.07377229337318736,-0.025022183415522235,0.011066308372240412
SumFunction,0.2,UniversalRandom,Arithmetic,SinglePoint,Elitism,-0.01890904142192866,-0.17286649311990981,-0.059596078544185374,0.02642957341665548
SumFunction,0.3,UniversalRandom,Arithmetic,SinglePoint,Elitism,-0.015660231238689565,-0.10920772168859148,-0.05496157898498113,0.02037319753425455
SumFunction,0.4,UniversalRandom,Arithmetic,SinglePoint,Elitism,-0.06962752575241489,-0.3701286455708966,-0.17919417397026038,0.0647911367693902
SumFunction,0.5,UniversalRandom,Arithmetic,SinglePoint,Elitism,-0.2114997369343208,-0.9549985268472306,-0.5168254773205474,0.16273795547745842
SumFunction,0.6,UniversalRandom,Arithmetic,SinglePoint,Elitism,-0.6947024572710924,-2.455252115871726,-1.2805349496075178,0.3384319571891086
SumFunction,0.7,UniversalRandom,Arithmetic,SinglePoint,Elitism,-1.5994341299865822,-18.257589472932786,-3.7830955406789095,2.396553925236294
SumFunction,0.8,UniversalRandom,Arithmetic,SinglePoint,Elitism,-1.563636550020596,-19.249881556010322,-3.3823684907722336,2.274982562634679
SumFunction,0.9,UniversalRandom,Arithmetic,SinglePoint,Elitism,-27.96230352954887,-145.50236438454158,-87.27756988150324,24.635127132501804
SumFunction,1.0,UniversalRandom,Arithmetic,SinglePoint,Elitism,-293,-449,-392.41,33.792024341416855
SumFunction,0.0,UniversalRandom,Arithmetic,SinglePoint,DeterministCrowding,-1.5525726215754307,-3.9830106950237045,-2.739088951173611,0.4354236913442347
SumFunction,0.1,UniversalRandom,Arithmetic,SinglePoint,DeterministCrowding,-1.6860384413225205,-3.9978024821697042,-2.774226233042456,0.45327745608369197
SumFunction,0.2,UniversalRandom,Arithmetic,SinglePoint,DeterministCrowding,-1.3654565273348307,-3.5320581783330605,-2.6190171946608576,0.47082912224995854
SumFunction,0.3,UniversalRandom,Arithmetic,SinglePoint,DeterministCrowding,-1.7013305260848153,-3.8594749251381555,-2.681760815178511,0.4526897204013309
SumFunction,0.4,UniversalRandom,Arithmetic,SinglePoint,DeterministCrowding,-1.6469651624214068,-3.4675233323348613,-2.5399058105771335,0.40409839426471844
SumFunction,0.5,UniversalRandom,Arithmetic,SinglePoint,DeterministCrowding,-1.4295036808466044,-4.073005971963037,-2.4360165186394536,0.49388322312141547
SumFunction,0.6,UniversalRandom,Arithmetic,SinglePoint,DeterministCrowding,-0.8573048498611794,-3.6865286752549986,-2.4585160528137475,0.5067063937105908
SumFunction,0.7,UniversalRandom,Arithmetic,SinglePoint,DeterministCrowding,-0.5080805233065674,-13.95034797800009,-3.9457411324675444,2.685278558242772
SumFunction,0.8,UniversalRandom,Arithmetic,SinglePoint,DeterministCrowding,-0.7214316889803905,-14.907889073029652,-3.7610000593930812,2.4135136962819423
SumFunction,0.9,UniversalRandom,Arithmetic,SinglePoint,DeterministCrowding,-9.207366139334837,-88.50750206539621,-46.73307904867519,16.960583195049193
SumFunction,1.0,UniversalRandom,Arithmetic,SinglePoint,DeterministCrowding,-333,-457,-393.13,29.862193590903633
SumFunction,0.0,UniversalRandom,Arithmetic,SinglePoint,RestrictedTournament,-2.232462801855546,-4.4171924305595835,-3.4824042209156203,0.4321773212015151
SumFunction,0.1,UniversalRandom,Arithmetic,SinglePoint,RestrictedTournament,-2.3881671102069286,-4.671068653026975,-3.4649022866134445,0.49672213814618443
SumFunction,0.2,UniversalRandom,Arithmetic,SinglePoint,RestrictedTournament,-2.324959553800591,-4.637437012243969,-3.338988852433429,0.4605014603597594
SumFunction,0.3,UniversalRandom,Arithmetic,SinglePoint,RestrictedTournament,-2.3403793637661003,-4.510291568772059,-3.3666521481568012,0.4375267556242486
SumFunction,0.4,UniversalRandom,Arithmetic,SinglePoint,RestrictedTournament,-2.1393852634305155,-4.453513133503161,-3.328452607397675,0.4352037925099417
SumFunction,0.5,UniversalRandom,Arithmetic,SinglePoint,RestrictedTournament,-2.084376550940902,-4.53463904497925,-3.214486275424084,0.5019244120784332
SumFunction,0.6,UniversalRandom,Arithmetic,SinglePoint,RestrictedTournament,-1.9009120942504738,-4.582912496652974,-3.1463608163793677,0.49748739744137455
SumFunction,0.7,UniversalRandom,Arithmetic,SinglePoint,RestrictedTournament,-2.4743490734041935,-6.941181135658425,-3.9548112696855813,0.9083758307237622
SumFunction,0.8,UniversalRandom,Arithmetic,SinglePoint,RestrictedTournament,-2.1625526264657453,-8.307953680501354,-3.9368795961806056,1.0655572830457174
SumFunction,0.9,UniversalRandom,Arithmetic,SinglePoint,RestrictedTournament,-31.72218244300378,-232.81331418790063,-109.57559282260942,43.435265115552355
SumFunction,1.0,UniversalRandom,Arithmetic,SinglePoint,RestrictedTournament,-331,-472,-394.27,30.033602393440464
SumFunction,0.0,UniversalRandom,Blend,SinglePoint,Random,-0.8346863373501665,-3.0850273551527674,-1.6718568827037696,0.3767401360738181
SumFunction,0.1,UniversalRandom,Blend,SinglePoint,Random,-0.9332125798418498,-3.39856700106201,-1.7410675101970297,0.43536244036724736
SumFunction,0.2,UniversalRandom,Blend,SinglePoint,Random,-1.0418595955318113,-3.063115771485863,-1.8171971951442383,0.4284506495343399
SumFunction,0.3,UniversalRandom,Blend,SinglePoint,Random,-0.9506027366278113,-3.592485985566909,-1.825777044063337,0.4389720140943118
SumFunction,0.4,UniversalRandom,Blend,SinglePoint,Random,-1.1755197710632428,-4.201483307490528,-2.174042514104844,0.5406213441865587
SumFunction,0.5,UniversalRandom,Blend,SinglePoint,Random,-1.38046656270367,-5.660451019654585,-3.271048275258994,0.9150308324085943
SumFunction,0.6,UniversalRandom,Blend,SinglePoint,Random,-2.9244509365861013,-25.111233746365997,-9.615101019773803,5.19271840036913
SumFunction,0.7,UniversalRandom,Blend,SinglePoint,Random,-13.146329305127066,-78.25536121846334,-42.61950033142164,14.609618355309184
SumFunction,0.8,UniversalRandom,Blend,SinglePoint,Random,-16.311669106910355,-107.25054080229981,-42.92646664272942,15.731069339830626
SumFunction,0.9,UniversalRandom,Blend,SinglePoint,Random,-130.59947279395715,-293.5819559745479,-207.35461544717825,30.0803419115149
SumFunction,1.0,UniversalRandom,Blend,SinglePoint,Random,-307,-491,-388.2,33.31605612853352
SumFunction,0.0,UniversalRandom,Blend,SinglePoint,Elitism,-0.794162404983785,-2.9256081053355394,-1.6985099816522442,0.4211804731847197
SumFunction,0.1,UniversalRandom,Blend,SinglePoint,Elitism,-0.005278577314100492,-0.061556480170066,-0.018639109812615774,0.009076503868007962
SumFunction,0.2,UniversalRandom,Blend,SinglePoint,Elitism,-0.012187038013873603,-0.13604123340122223,-0.05278078348763206,0.027038551699516442
SumFunction,0.3,UniversalRandom,Blend,SinglePoint,Elitism,-0.009626630460350324,-0.18808730137130356,-0.05185321604133912,0.030368193428705663
SumFunction,0.4,UniversalRandom,Blend,SinglePoint,Elitism,-0.08300464355478433,-0.5138652390734118,-0.21240560860858992,0.0826063812946914
SumFunction,0.5,UniversalRandom,Blend,SinglePoint,Elitism,-0.36105562977072925,-1.2992508736371842,-0.704610700669511,0.21423816601110882
SumFunction,0.6,UniversalRandom,Blend,SinglePoint,Elitism,-0.6599889726810875,-2.2076724635738656,-1.439841167250806,0.33228906215848536
SumFunction,0.7,UniversalRandom,Blend,SinglePoint,Elitism,-1.4173943471281096,-18.64162563448157,-5.429827676184797,3.5602417429334934
SumFunction,0.8,UniversalRandom,Blend,SinglePoint,Elitism,-1.2368892322886471,-17.301551875713443,-4.818708637035528,3.173544182663765
SumFunction,0.9,UniversalRandom,Blend,SinglePoint,Elitism,-51.79090325074691,-157.07246660811964,-90.20353249995294,19.503366338443335
SumFunction,1.0,UniversalRandom,Blend,SinglePoint,Elitism,-309,-477,-390.17,33.47788505683697
SumFunction,0.0,UniversalRandom,Blend,SinglePoint,DeterministCrowding,-1.1460564760656593,-3.566729641714987,-2.3184640458403742,0.4709016979769756
SumFunction,0.1,UniversalRandom,Blend,SinglePoint,DeterministCrowding,-1.5712297981822398,-4.00727101614343,-2.375062079964912,0.4529115182556818
SumFunction,0.2,UniversalRandom,Blend,SinglePoint,DeterministCrowding,-1.4243061277850617,-3.7458396227375417,-2.3793615706322715,0.4367229552918638
SumFunction,0.3,UniversalRandom,Blend,SinglePoint,DeterministCrowding,-1.479449999789855,-3.3897163069164913,-2.2661870254854066,0.4377533190769206
SumFunction,0.4,UniversalRandom,Blend,SinglePoint,DeterministCrowding,-1.465011765359335,-3.6505564832500794,-2.3279499678589946,0.4560146320426338
SumFunction,0.5,UniversalRandom,Blend,SinglePoint,DeterministCrowding,-0.8210736068534277,-3.8339831001209728,-2.303467959622555,0.49185430119377066
SumFunction,0.6,UniversalRandom,Blend,SinglePoint,DeterministCrowding,-0.9245164050924078,-11.075886173432217,-2.1957627231348664,1.0823252779594306
SumFunction,0.7,UniversalRandom,Blend,SinglePoint,DeterministCrowding,-0.15624715072072948,-20.777886465094532,-4.123409029111292,3.9262203094884947
SumFunction,0.8,UniversalRandom,Blend,SinglePoint,DeterministCrowding,-0.6954519137437978,-18.59735494770935,-3.995157939231536,3.5321113137347298
SumFunction,0.9,UniversalRandom,Blend,SinglePoint,DeterministCrowding,-11.163703203863722,-102.01389629497514,-47.006143623669345,18.939103216665064
SumFunction,1.0,UniversalRandom,Blend,SinglePoint,DeterministCrowding,-275,-465,-389.25,37.82372057828048
SumFunction,0.0,UniversalRandom,Blend,SinglePoint,RestrictedTournament,-0.0912356999030558,-1.122966415700658,-0.4405671563815813,0.2143740494803623
SumFunction,0.1,UniversalRandom,Blend,SinglePoint,RestrictedTournament,-0.11018278370800903,-1.1503051970197118,-0.5091445029403182,0.20881948372729844
SumFunction,0.2,UniversalRandom,Blend,SinglePoint,RestrictedTournament,-0.11197400953756283,-1.2077349358858807,-0.687860961802094,0.22731158600579848
SumFunction,0.3,UniversalRandom,Blend,SinglePoint,RestrictedTournament,-0.21398042141236212,-1.4408728394165136,-0.6869680004697345,0.25931301189254696
SumFunction,0.4,UniversalRandom,Blend,SinglePoint,RestrictedTournament,-0.3347545762509236,-1.6763389689257766,-0.8643117299289717,0.3046868498253034
SumFunction,0.5,UniversalRandom,Blend,SinglePoint,RestrictedTournament,-0.48164719285539775,-1.7452517841876363,-0.9979007817801604,0.2802472369583425
SumFunction,0.6,UniversalRandom,Blend,SinglePoint,RestrictedTournament,-0.5480204296041852,-1.9748571048788184,-1.2971194505703019,0.337246816603137
SumFunction,0.7,UniversalRandom,Blend,SinglePoint,RestrictedTournament,-1.5735551078160943,-16.97224166904024,-3.6872847629438974,2.0551140088232382
SumFunction,0.8,UniversalRandom,Blend,SinglePoint,RestrictedTournament,-1.6802195839225826,-16.46072802577551,-3.3965699838121624,1.7192901242285108
SumFunction,0.9,UniversalRandom,Blend,SinglePoint,RestrictedTournament,-99.65553431479198,-200.3805128297061,-154.66590039849714,21.375381817270128
SumFunction,1.0,UniversalRandom,Blend,SinglePoint,RestrictedTournament,-323,-489,-393.55,32.70386719170883
SumFunction,0.0,UniversalRandom,SimulatedBinary,SinglePoint,Random,-1.0211080459223334,-3.6984155524166904,-2.0637564016066112,0.478910377944407
SumFunction,0.1,UniversalRandom,SimulatedBinary,SinglePoint,Random,-1.5525611104544967,-4.180489863969541,-2.6973116615490467,0.5141054317298444
SumFunction,0.2,UniversalRandom,SimulatedBinary,SinglePoint,Random,-1.7084360356782728,-5.088975989197017,-3.4893659804523574,0.674250173470294
SumFunction,0.3,UniversalRandom,SimulatedBinary,SinglePoint,Random,-1.9546759951377461,-5.478219112891455,-3.5405808007672226,0.7799287893171006
SumFunction,0.4,UniversalRandom,SimulatedBinary,SinglePoint,Random,-2.7053113181928516,-12.52772266415065,-4.731325893853253,1.342410821033471
SumFunction,0.5,UniversalRandom,SimulatedBinary,SinglePoint,Random,-3.0701193571567273,-17.67312220549717,-8.107071473015393,2.9404641391885287
SumFunction,0.6,UniversalRandom,SimulatedBinary,SinglePoint,Random,-5.63007591269061,-46.040620384230515,-22.28806813376647,8.619782343227836
SumFunction,0.7,UniversalRandom,SimulatedBinary,SinglePoint,Random,-23.573130607174104,-122.3966536001216,-67.30008496203784,16.09842314025733
SumFunction,0.8,UniversalRandom,SimulatedBinary,SinglePoint,Random,-21.799136455487584,-125.38461067344909,-69.29502361384188,20.10356187526657
SumFunction,0.9,UniversalRandom,SimulatedBinary,SinglePoint,Random,-154.92769154272537,-296.8323118958161,-223.78781058099668,30.653364131034206
SumFunction,1.0,UniversalRandom,SimulatedBinary,SinglePoint,Random,-277,-464,-396.09,37.06916685485569
SumFunction,0.0,UniversalRandom,SimulatedBinary,SinglePoint,Elitism,-1.1393669307491843,-3.123085828757175,-2.050320165565757,0.4373567250198224
SumFunction,0.1,UniversalRandom,SimulatedBinary,SinglePoint,Elitism,-0.11970082655788387,-0.7823866929717134,-0.34761361972998467,0.11560338951097604
SumFunction,0.2,UniversalRandom,SimulatedBinary,SinglePoint,Elitism,-0.2845456910962813,-1.358438858798053,-0.7076187013390465,0.2158796419471714
SumFunction,0.3,UniversalRandom,SimulatedBinary,SinglePoint,Elitism,-0.3456847964582551,-1.3544170258841548,-0.738424816878968,0.1975825207080086
SumFunction,0.4,UniversalRandom,SimulatedBinary,SinglePoint,Elitism,-0.3802485236451081,-2.263404148689848,-1.2461765796758926,0.3242428741685334
SumFunction,0.5,UniversalRandom,SimulatedBinary,SinglePoint,Elitism,-0.6259666603883205,-2.783181466798643,-1.5926923967067927,0.4517064988278708
SumFunction,0.6,UniversalRandom,SimulatedBinary,SinglePoint,Elitism,-0.6798177079687442,-11.297433980459989,-2.0956642039254905,1.2961004020732732
SumFunction,0.7,UniversalRandom,SimulatedBinary,SinglePoint,Elitism,-1.626901146695031,-25.445884999272124,-8.965931785476918,4.8342095774648834
SumFunction,0.8,UniversalRandom,SimulatedBinary,SinglePoint,Elitism,-1.7214551668332017,-23.15227862778987,-8.771841097936349,5.455197606593524
SumFunction,0.9,UniversalRandom,SimulatedBinary,SinglePoint,Elitism,-66.00115345059199,-157.12639988245286,-104.17956799106338,19.774712259267506
SumFunction,1.0,UniversalRandom,SimulatedBinary,SinglePoint,Elitism,-295,-454,-397.34,32.80774114119835
SumFunction,0.0,UniversalRandom,SimulatedBinary,SinglePoint,DeterministCrowding,-1.0990027403238827,-3.631095662361434,-2.3971395416431793,0.5603675421541547
SumFunction,0.1,UniversalRandom,SimulatedBinary,SinglePoint,DeterministCrowding,-1.0689783742746128,-4.029464791277143,-2.380706625975904,0.6484893764431721
SumFunction,0.2,UniversalRandom,SimulatedBinary,SinglePoint,DeterministCrowding,-0.7020505247714631,-4.035554671048828,-2.1803764050151564,0.6443902241665455
SumFunction,0.3,UniversalRandom,SimulatedBinary,SinglePoint,DeterministCrowding,-0.8700114531213092,-3.876228858979509,-2.2023437163021007,0.6539267698654573
SumFunction,0.4,UniversalRandom,SimulatedBinary,SinglePoint,DeterministCrowding,-0.4513332341753473,-4.157689423573376,-1.9270318901394545,0.7021022709948047
SumFunction,0.5,UniversalRandom,SimulatedBinary,SinglePoint,DeterministCrowding,-0.7012279464456049,-3.4587071811541574,-1.6707375816139256,0.6096398599974733
SumFunction,0.6,UniversalRandom,SimulatedBinary,SinglePoint,DeterministCrowding,-0.2832247699363712,-4.9461048758676895,-1.3641911026689992,0.7531795117057345
SumFunction,0.7,UniversalRandom,SimulatedBinary,SinglePoint,DeterministCrowding,-0.11657726131343817,-28.813416500916414,-3.263578878077829,4.251205105616315
SumFunction,0.8,UniversalRandom,SimulatedBinary,SinglePoint,DeterministCrowding,-0.1410591988977154,-35.47084542180036,-3.6695423424255114,5.067869765531159
SumFunction,0.9,UniversalRandom,SimulatedBinary,SinglePoint,DeterministCrowding,-11.175125946037571,-108.24479303141186,-46.25009165737716,19.297601399426405
SumFunction,1.0,UniversalRandom,SimulatedBinary,SinglePoint,DeterministCrowding,-298,-479,-388.06,29.998255841554414
SumFunction,0.0,UniversalRandom,SimulatedBinary,SinglePoint,RestrictedTournament,-0.04213696100930958,-1.3226644348760186,-0.43372687793994386,0.33374652438712993
SumFunction,0.1,UniversalRandom,SimulatedBinary,SinglePoint,RestrictedTournament,-0.10016560207341374,-1.3906384627727095,-0.5199354697479784,0.27353044292724704
SumFunction,0.2,UniversalRandom,SimulatedBinary,SinglePoint,RestrictedTournament,-0.21220483644862473,-2.616312260222699,-0.8361511198775428,0.4349111793607415
SumFunction,0.3,UniversalRandom,SimulatedBinary,SinglePoint,RestrictedTournament,-0.24050106860547263,-2.787567361161664,-0.8053856441653391,0.436520638991072
SumFunction,0.4,UniversalRandom,SimulatedBinary,SinglePoint,RestrictedTournament,-0.47485556755662506,-2.2008647188032056,-1.2669679633489035,0.3765756915613956
SumFunction,0.5,UniversalRandom,SimulatedBinary,SinglePoint,RestrictedTournament,-1.2442441173176435,-4.062801467039475,-2.166981721743714,0.536152474550259
SumFunction,0.6,UniversalRandom,SimulatedBinary,SinglePoint,RestrictedTournament,-2.3630452037745378,-9.040328088820559,-4.762226064345424,1.479117447993859
SumFunction,0.7,UniversalRandom,SimulatedBinary,SinglePoint,RestrictedTournament,-8.913606600323664,-39.0903146630963,-20.720718738074492,6.428323376128144
SumFunction,0.8,UniversalRandom,SimulatedBinary,SinglePoint,RestrictedTournament,-8.666045158588952,-44.1184915861796,-21.083401998121097,7.374272231630923
SumFunction,0.9,UniversalRandom,SimulatedBinary,SinglePoint,RestrictedTournament,-95.29574159271012,-230.8988190432333,-166.30680208964583,24.33339139104037
SumFunction,1.0,UniversalRandom,SimulatedBinary,SinglePoint,RestrictedTournament,-294,-455,-385.56,34.824036746958775
SumFunction,0.0,Tournament,Arithmetic,SinglePoint,Random,-1.0638718998781622,-3.0833306580432764,-1.9337333455706336,0.4235968763394572
SumFunction,0.1,Tournament,Arithmetic,SinglePoint,Random,-0.31344854297949976,-1.8589556532578408,-0.8763239565308112,0.27686600545017326
SumFunction,0.2,Tournament,Arithmetic,SinglePoint,Random,-0.5234200654949461,-2.2093018835079707,-1.2244925006512508,0.34732895480059156
SumFunction,0.3,Tournament,Arithmetic,SinglePoint,Random,-0.5775360494290341,-2.081916023735095,-1.2059354107745544,0.3254082323328398
SumFunction,0.4,Tournament,Arithmetic,SinglePoint,Random,-0.3181754948445085,-4.346436677589727,-1.099075548922812,0.5926045794797208
SumFunction,0.5,Tournament,Arithmetic,SinglePoint,Random,-1.0164685097329758,-7.9556027445912125,-2.5475700141815527,1.5004657211521966
SumFunction,0.6,Tournament,Arithmetic,SinglePoint,Random,-1.9097908984401948,-35.43491258311572,-10.932790934090326,6.918544522493752
SumFunction,0.7,Tournament,Arithmetic,SinglePoint,Random,-7.303455865666962,-110.54551369680696,-33.681724538947755,20.381103524970218
SumFunction,0.8,Tournament,Arithmetic,SinglePoint,Random,-8.242789175110866,-111.3646020769113,-36.21427613326545,18.6241588239281
SumFunction,0.9,Tournament,Arithmetic,SinglePoint,Random,-75.27566472549773,-299.86688113221476,-202.33248837730127,39.951035756098506
SumFunction,1.0,Tournament,Arithmetic,SinglePoint,Random,-321,-467,-392.34,31.87862714557935
SumFunction,0.0,Tournament,Arithmetic,SinglePoint,Elitism,-0.897869409422987,-3.276206153909226,-1.9646223880674802,0.4477305513197355
SumFunction,0.1,Tournament,Arithmetic,SinglePoint,Elitism,-0.2865558838834899,-2.3289957107684547,-1.1737348961418768,0.30574741345118733
SumFunction,0.2,Tournament,Arithmetic,SinglePoint,Elitism,-1.0151734334928528,-3.173106993586494,-1.790624661122464,0.39671919691744517
SumFunction,0.3,Tournament,Arithmetic,SinglePoint,Elitism,-0.9605949261837217,-3.4165858287142643,-1.8207875669785045,0.3999301918594687
SumFunction,0.4,Tournament,Arithmetic,SinglePoint,Elitism,-0.3123290606554959,-1.9099662030016469,-0.9882798592659188,0.32814862281843477
SumFunction,0.5,Tournament,Arithmetic,SinglePoint,Elitism,-0.80129924063733,-2.7684016838923826,-1.8277390158948408,0.4121158894494827
SumFunction,0.6,Tournament,Arithmetic,SinglePoint,Elitism,-1.513838473084912,-3.930756011389978,-2.559491761555268,0.4604997651814237
SumFunction,0.7,Tournament,Arithmetic,SinglePoint,Elitism,-1.7376701819050226,-15.678741805677834,-4.863169377297908,2.8810700958115905
SumFunction,0.8,Tournament,Arithmetic,SinglePoint,Elitism,-1.8725208549128642,-18.27594495354865,-4.798979244120059,2.840119056425365
SumFunction,0.9,Tournament,Arithmetic,SinglePoint,Elitism,-46.689361915646096,-147.62306958809,-95.8418038033589,22.201074575990983
SumFunction,1.0,Tournament,Arithmetic,SinglePoint,Elitism,-313,-477,-395.05,31.790785463779287
SumFunction,0.0,Tournament,Arithmetic,SinglePoint,DeterministCrowding,-1.9377274764633574,-4.966945830629583,-3.0054622638587203,0.5286332466245192
SumFunction,0.1,Tournament,Arithmetic,SinglePoint,DeterministCrowding,-1.9493791167074184,-4.068494284084755,-2.936406967645318,0.4749942136102613
