FunctionIndex,Damage,Regeneration,Tournament,Alpha,BestScore,WorstScore,MeanScore,StdDev
1,0.0,0.0,2,0.0,-872717625640.832,-1900824066594.8357,-1362004452417.1147,238035359225.18295
1,0.0,0.0,2,0.2,-974403808824.342,-2265659622177.3784,-1504290168180.8162,284355648422.4501
1,0.0,0.0,2,0.4,-1121916015675.4094,-2682290164583.4985,-1684214268715.8604,332523457920.05194
1,0.0,0.0,2,0.6,-1301056894353.8357,-2650281958091.992,-1844874444181.154,307109882222.23816
1,0.0,0.0,2,0.8,-1163084671558.8271,-2746899574316.1196,-1913315426779.4658,330054027797.08875
1,0.0,0.0,2,1.0,-1126141028667.532,-2919999260316.466,-1848836050479.4736,405483143899.06335
1,0.0,0.0,4,0.0,-1204159322823.553,-2868829210133.4307,-1937574504495.1975,393731366111.842
1,0.0,0.0,4,0.2,-1369344795791.4426,-2905516617763.7827,-1985202409089.6445,368667721792.0483
1,0.0,0.0,4,0.4,-1430981884538.195,-3563229380924.9497,-2200851358416.5137,390670295296.3489
1,0.0,0.0,4,0.6,-1615177426038.103,-3594768938777.6377,-2438618704768.3765,447187526256.13806
1,0.0,0.0,4,0.8,-1540127109805.2998,-3751662081105.1626,-2564725485161.3203,483743869056.1371
1,0.0,0.0,4,1.0,-1742047048331.7244,-3750769789357.597,-2362125188128.357,395950617979.74615
1,0.0,0.0,6,0.0,-1106835542510.4038,-3383905351937.5977,-2223171464848.174,461978491768.00665
1,0.0,0.0,6,0.2,-1555959938362.2925,-3555780353656.6973,-2380617025243.9307,462521816706.7887
1,0.0,0.0,6,0.4,-1675180984953.288,-4125446378883.8774,-2672049037826.6924,539552526929.58044
1,0.0,0.0,6,0.6,-1851849441097.1401,-4012852026931.993,-2699355352354.8174,434202923018.94086
1,0.0,0.0,6,0.8,-1937782742387.8245,-5601129783903.461,-2859705210595.3115,563488485698.4541
1,0.0,0.0,6,1.0,-1863788919921.8389,-3646441442928.702,-2756969318849.438,459619496747.1776
1,0.0,0.0,8,0.0,-1583218710459.8604,-4175382524237.213,-2457736576907.894,533026379001.3442
1,0.0,0.0,8,0.2,-1631089146244.5798,-5353926493949.289,-2760217137801.0264,574887616733.2574
1,0.0,0.0,8,0.4,-1606138451399.0764,-3947631236246.5576,-2732039373515.4883,490830371095.0581
1,0.0,0.0,8,0.6,-1611168785306.9883,-4032665735600.859,-2681936225194.9575,457722348915.1652
1,0.0,0.0,8,0.8,-1917988304127.655,-4321251771770.615,-2919745513991.3164,521012915227.3687
1,0.0,0.0,8,1.0,-2127613105228.1086,-3865316635804.412,-2912688815713.4097,457231180969.50195
1,0.0,0.0,10,0.0,-1914646309453.2002,-4025707072206.8867,-2771348296741.818,480311753963.7646
1,0.0,0.0,10,0.2,-2079080257756.0186,-4121958353711.661,-2964601517658.0728,424724235826.28174
1,0.0,0.0,10,0.4,-1684227892698.2998,-3972417777253.131,-2912839723559.266,489593825452.933
1,0.0,0.0,10,0.6,-2202577104366.209,-5395255512879.79,-3100827823381.738,670439918012.2421
1,0.0,0.0,10,0.8,-1863479531630.799,-4225830155132.8696,-3148440871161.9546,523113915795.4208
1,0.0,0.0,10,1.0,-2313928125890.4033,-4560457662869.789,-3046545695870.6353,531715688489.8633
1,0.0,0.0,12,0.0,-2260857774652.3657,-4500169912223.786,-3173434639743.7275,508842236682.2829
1,0.0,0.0,12,0.2,-2024237930704.6443,-4939325383206.252,-3156002261772.6714,572199826727.3013
1,0.0,0.0,12,0.4,-1923453523522.6426,-4769699266967.679,-3181117834753.5713,581149104390.9435
1,0.0,0.0,12,0.6,-2118916627193.3872,-4624388367379.215,-3136807476819.9326,539506470878.6675
1,0.0,0.0,12,0.8,-2093605074554.9548,-4848893974971.105,-3361891919915.2427,541035770450.0844
1,0.0,0.0,12,1.0,-2298842302994.8247,-4891930754852.093,-3421747626257.22,572911790623.4038
1,0.0,0.0,14,0.0,-2003915558105.9607,-4503996123848.716,-3231958144617.449,551497204406.7219
1,0.0,0.0,14,0.2,-2192120942923.569,-5123867639137.1455,-3311610067033.1904,642752174025.5242
1,0.0,0.0,14,0.4,-1899382539276.044,-4624921464135.536,-3136654557359.6353,612234080373.2095
1,0.0,0.0,14,0.6,-2156233941488.529,-4188302377041.337,-3104207154030.1562,452322805265.8325
1,0.0,0.0,14,0.8,-2547007024734.695,-4298810975956.6904,-3388760251038.134,447866838639.2821
1,0.0,0.0,14,1.0,-2635793580092.7104,-4630826114194.499,-3422027395617.3843,402428850016.5319
1,0.0,0.2,2,0.0,-949922479963.7144,-1893457650592.3992,-1357471248399.372,249592301335.03052
1,0.0,0.2,2,0.2,-955485349700.8545,-2065288333622.9084,-1425181229283.6902,304143020091.8769
1,0.0,0.2,2,0.4,-1021299894404.5483,-2351181556732.9775,-1645048456314.1917,338394694309.13617
1,0.0,0.2,2,0.6,-1308230817443.1807,-2632423666025.716,-1808356728600.1016,289480396734.4922
1,0.0,0.2,2,0.8,-1354158978511.7634,-2987236310054.94,-1984561924469.7263,354759730615.6089
1,0.0,0.2,2,1.0,-1176105714220.019,-2641105606074.9336,-1806111881916.761,317281869027.47345
1,0.0,0.2,4,0.0,-1249645989938.0896,-2653766613509.41,-1911200233381.2107,335008569752.99005
1,0.0,0.2,4,0.2,-1127623463524.8298,-3612428824221.1753,-2139746709299.1426,543109036245.1131
1,0.0,0.2,4,0.4,-1317766014317.4998,-3695928057920.851,-2290046018633.0957,462025691068.35474
1,0.0,0.2,4,0.6,-1867250476884.7688,-3396029622353.667,-2417515312875.087,403074745529.50256
1,0.0,0.2,4,0.8,-1435321548797.8333,-4700823275626.927,-2659895700063.159,549513980965.2964
1,0.0,0.2,4,1.0,-1174916998701.3032,-3725053906871.5977,-2474362150374.7446,577700503418.6904
1,0.0,0.2,6,0.0,-1520457282313.1921,-3323065436805.3794,-2256586326956.115,415294181553.4512
1,0.0,0.2,6,0.2,-1714154197023.6704,-4274180104927.9033,-2681861178325.4097,633634371719.8406
1,0.0,0.2,6,0.4,-1712322365493.4768,-3920456095811.6543,-2701931740176.6313,423422524864.1057
1,0.0,0.2,6,0.6,-1884876816305.4065,-3834428486765.1294,-2679425220294.8926,486652209503.5893
