Problem,Damage,Regeneration,Tournament_size,alpha,BestScore,WorstScore,MeanScore,StdDev
ksp,0.0,0.0,2,0.0,132,102,116.12,7.2072525830525995
ksp,0.0,0.0,2,0.1,128,102,116.64,5.494932730642452
ksp,0.0,0.0,2,0.2,130,96,113.94,6.701842573318999
ksp,0.0,0.0,2,0.3,130,95,115.34,9.635415117668565
ksp,0.0,0.0,2,0.4,130,91,115.78,8.4062416072335
ksp,0.0,0.0,2,0.5,125,81,106.52,11.172561140981937
ksp,0.0,0.0,2,0.6,118,69,95.16,13.483716559053663
ksp,0.0,0.0,2,0.7,122,65,92.54,13.478948060450657
ksp,0.0,0.0,2,0.8,120,63,92.04,11.994828817759215
ksp,0.0,0.0,2,0.9,120,72,96.88,10.348301645138468
ksp,0.0,0.0,2,1.0,115,69,95.54,11.618440655497023
ksp,0.0,0.0,3,0.0,125,83,110.88,8.613326172571316
ksp,0.0,0.0,3,0.1,128,82,108.7,10.2325012402957
ksp,0.0,0.0,3,0.2,127,89,109.52,10.298087795552044
ksp,0.0,0.0,3,0.3,131,82,108.26,11.610709342179376
ksp,0.0,0.0,3,0.4,121,78,107.36,9.728477029120357
ksp,0.0,0.0,3,0.5,125,62,102.28,12.282458040237877
ksp,0.0,0.0,3,0.6,111,48,85.88,12.66948769158986
ksp,0.0,0.0,3,0.7,114,-3,86.78,18.37399448866217
ksp,0.0,0.0,3,0.8,119,64,92.06,13.671674874628602
ksp,0.0,0.0,3,0.9,117,45,89.66,12.486090219904382
ksp,0.0,0.0,3,1.0,114,-4,85.62,18.00554336410692
ksp,0.0,0.0,4,0.0,127,84,107.16,9.564731132271993
ksp,0.0,0.0,4,0.1,126,81,106.86,9.267036159618321
ksp,0.0,0.0,4,0.2,123,80,106.08,9.475726238927654
ksp,0.0,0.0,4,0.3,126,85,106.16,9.677155932337532
ksp,0.0,0.0,4,0.4,126,74,106.26,11.658070691366474
ksp,0.0,0.0,4,0.5,118,67,99.52,11.082694728674051
ksp,0.0,0.0,4,0.6,107,61,85.82,10.771636981689744
ksp,0.0,0.0,4,0.7,112,62,85.84,11.370136322841516
ksp,0.0,0.0,4,0.8,102,-6,80.38,15.839617084631659
ksp,0.0,0.0,4,0.9,119,54,89.22,13.10754573144953
ksp,0.0,0.0,4,1.0,115,-3,84.26,21.58874423284088
ksp,0.0,0.0,5,0.0,130,78,103.38,11.771445908447705
ksp,0.0,0.0,5,0.1,123,87,104.86,9.691169976334338
ksp,0.0,0.0,5,0.2,118,77,104.14,9.461004822158054
ksp,0.0,0.0,5,0.3,119,73,100.16,10.57405372810721
ksp,0.0,0.0,5,0.4,118,78,101.48,10.282221629232327
ksp,0.0,0.0,5,0.5,125,69,96.4,11.551128578133456
ksp,0.0,0.0,5,0.6,115,56,84.74,12.632659325441063
ksp,0.0,0.0,5,0.7,114,-5,80.5,20.86032265389224
ksp,0.0,0.0,5,0.8,118,-11,78.9,29.21926258690402
ksp,0.0,0.0,5,0.9,110,41,88.02,12.767129349886556
ksp,0.0,0.0,5,1.0,110,-10,83.86,18.258920101290386
ksp,0.0,0.0,6,0.0,120,80,102.72,9.437311965960284
ksp,0.0,0.0,6,0.1,123,55,100.18,12.601732955010107
ksp,0.0,0.0,6,0.2,120,73,101.38,10.855056190456095
ksp,0.0,0.0,6,0.3,122,73,100.62,10.397978610464317
ksp,0.0,0.0,6,0.4,120,69,99.56,12.046101918403789
ksp,0.0,0.0,6,0.5,114,62,90.42,12.257592399348717
ksp,0.0,0.0,6,0.6,114,-11,79.76,22.028330552694534
ksp,0.0,0.0,6,0.7,106,51,82.98,12.807029319869615
ksp,0.0,0.0,6,0.8,108,55,84.12,12.336506302641038
ksp,0.0,0.0,6,0.9,108,-19,76.42,25.006195150769486
ksp,0.0,0.0,6,1.0,112,-8,82.68,22.680963878305075
ksp,0.0,0.0,7,0.0,118,75,101.26,10.299217327108911
ksp,0.0,0.0,7,0.1,124,69,98.2,11.254024223560645
ksp,0.0,0.0,7,0.2,119,68,98.1,12.342476845993172
ksp,0.0,0.0,7,0.3,119,82,100.08,9.51441441354396
ksp,0.0,0.0,7,0.4,118,70,94.94,12.875241230155414
ksp,0.0,0.0,7,0.5,119,-3,91.64,18.6106837870189
ksp,0.0,0.0,7,0.6,108,-18,78.04,21.49984337864168
ksp,0.0,0.0,7,0.7,103,-15,75.52,26.939266538505702
ksp,0.0,0.0,7,0.8,107,-6,77.32,27.16648595574469
ksp,0.0,0.0,7,0.9,116,-12,81.14,24.456550393357954
ksp,0.0,0.0,7,1.0,115,-5,81.24,18.74703786125767
ksp,0.0,0.0,8,0.0,115,79,97.16,9.45960261494388
ksp,0.0,0.0,8,0.1,121,60,92.86,13.36307736768346
ksp,0.0,0.0,8,0.2,123,70,98.42,12.269241448202319
ksp,0.0,0.0,8,0.3,122,76,97.3,11.959540636868038
ksp,0.0,0.0,8,0.4,118,69,95.6,11.192198449029082
ksp,0.0,0.0,8,0.5,115,-14,87.1,19.051219897734548
ksp,0.0,0.0,8,0.6,106,-3,80.18,20.918393429550687
ksp,0.0,0.0,8,0.7,114,-3,78.84,21.78125012810002
ksp,0.0,0.0,8,0.8,107,-8,75.58,26.29742751444618
ksp,0.0,0.0,8,0.9,102,-6,77.3,20.826053149742954
ksp,0.0,0.0,8,1.0,113,-11,75.56,24.97930572065033
ksp,0.0,0.0,9,0.0,119,78,96.1,10.911985546701782
ksp,0.0,0.0,9,0.1,118,70,95.6,11.078569125909311
ksp,0.0,0.0,9,0.2,109,63,93.48,11.188988756261894
ksp,0.0,0.0,9,0.3,115,72,93.94,9.013391397792283
ksp,0.0,0.0,9,0.4,114,71,94.78,10.966163171040158
ksp,0.0,0.0,9,0.5,113,58,87.98,12.776716706412426
ksp,0.0,0.0,9,0.6,111,-17,77.26,27.31285859989685
ksp,0.0,0.0,9,0.7,118,58,85.82,11.350968672140645
ksp,0.0,0.0,9,0.8,114,-8,74.42,28.963094039251583
ksp,0.0,0.0,9,0.9,105,-5,79.44,20.869037704069576
ksp,0.0,0.0,9,1.0,110,-7,76.74,26.671707856828366
ksp,0.0,0.0,10,0.0,118,68,93.98,11.260351246923056
ksp,0.0,0.0,10,0.1,118,-2,89.02,19.196608969252026
ksp,0.0,0.0,10,0.2,119,77,96.7,9.09642226148191
ksp,0.0,0.0,10,0.3,114,61,93.46,11.791055066949554
ksp,0.0,0.0,10,0.4,118,-4,90.24,18.68160723759045
ksp,0.0,0.0,10,0.5,113,-2,85.82,17.98036343870043
ksp,0.0,0.0,10,0.6,111,-8,72.38,31.5755588765638
ksp,0.0,0.0,10,0.7,116,-11,73.1,30.405591591021544
ksp,0.0,0.0,10,0.8,110,-7,77.12,24.502094870872256
ksp,0.0,0.0,10,0.9,105,-25,71,32.4131492591812
ksp,0.0,0.0,10,1.0,109,-14,75.58,27.33398124335796
ksp,0.0,0.0,11,0.0,116,51,93.04,13.356890753923418
