Problem,Damage,Regeneration,Tournament_size,alpha,BestScore,WorstScore,MeanScore,StdDev
sfp,0.0,0.0,2,0.0,-43635,-100085,-71825.8,13268.777282456307
sfp,0.0,0.0,2,0.1,-53695,-112772,-71274.48,13505.255192172945
sfp,0.0,0.0,2,0.2,-39976,-108052,-69811.52,14557.623271534347
sfp,0.0,0.0,2,0.3,-27417,-112926,-66067.04,17366.458601733237
sfp,0.0,0.0,2,0.4,-34757,-91089,-60736.74,15567.964662965642
sfp,0.0,0.0,2,0.5,-35794,-95729,-62527.28,15037.186092932061
sfp,0.0,0.0,2,0.6,-36176,-110688,-66747.96,16349.505715501753
sfp,0.0,0.0,2,0.7,-52246,-118951,-78874.24,15892.390433673801
sfp,0.0,0.0,2,0.8,-60788,-126292,-89185.36,13835.692099340571
sfp,0.0,0.0,2,0.9,-69708,-142130,-99666.28,18145.037981458496
sfp,0.0,0.0,2,1.0,-51653,-118886,-84560.52,12854.11148270451
sfp,0.0,0.0,3,0.0,-53791,-116278,-86525.3,14759.950164798895
sfp,0.0,0.0,3,0.1,-46400,-131347,-88452.84,16643.48677087361
sfp,0.0,0.0,3,0.2,-51830,-135158,-86820.16,17833.598500697542
sfp,0.0,0.0,3,0.3,-34632,-135788,-81484.4,21268.393412934296
sfp,0.0,0.0,3,0.4,-32823,-130541,-81526.34,20190.950830841757
sfp,0.0,0.0,3,0.5,-49715,-121003,-76598.88,16823.09159100026
sfp,0.0,0.0,3,0.6,-38874,-132825,-82401.24,20064.59471618846
sfp,0.0,0.0,3,0.7,-64441,-124627,-92105.7,14740.920033660568
sfp,0.0,0.0,3,0.8,-58973,-141688,-98808.16,14998.985719939157
sfp,0.0,0.0,3,0.9,-70153,-163241,-113477.94,20492.267967838852
sfp,0.0,0.0,3,1.0,-64331,-139553,-99716.92,17567.152051996338
sfp,0.0,0.0,4,0.0,-61894,-143786,-99368.34,16239.968036323728
sfp,0.0,0.0,4,0.1,-74801,-188651,-106920.8,23293.877242305367
sfp,0.0,0.0,4,0.2,-59857,-148553,-103125.82,22963.72768279113
sfp,0.0,0.0,4,0.3,-45668,-132947,-94643.14,21534.331423983407
sfp,0.0,0.0,4,0.4,-39211,-120706,-83717.36,21461.37504368521
sfp,0.0,0.0,4,0.5,-39755,-127864,-85315.62,23775.7945577567
sfp,0.0,0.0,4,0.6,-53589,-128831,-87029.3,19237.414099475372
sfp,0.0,0.0,4,0.7,-67607,-132000,-97419.06,17258.85808340938
sfp,0.0,0.0,4,0.8,-74086,-165594,-118039.6,20490.797896836022
sfp,0.0,0.0,4,0.9,-88691,-176082,-121741.34,19976.93476784603
sfp,0.0,0.0,4,1.0,-78748,-152608,-112026.44,19963.095015001036
sfp,0.0,0.0,5,0.0,-67761,-144779,-106017.56,14012.048668345455
sfp,0.0,0.0,5,0.1,-67222,-154851,-112598.64,18773.947582406283
sfp,0.0,0.0,5,0.2,-68543,-152906,-106318.26,20757.28108577512
sfp,0.0,0.0,5,0.3,-51891,-179521,-101839.16,26667.031322697214
sfp,0.0,0.0,5,0.4,-52311,-166793,-91793.6,25731.3813845892
sfp,0.0,0.0,5,0.5,-43357,-150588,-94320.5,27788.077845305073
sfp,0.0,0.0,5,0.6,-44180,-140233,-93198.1,22186.887062416128
sfp,0.0,0.0,5,0.7,-65493,-147524,-106505.48,18751.633799011885
sfp,0.0,0.0,5,0.8,-79651,-159661,-119537,20735.213149792962
sfp,0.0,0.0,5,0.9,-91355,-187959,-129421.46,21979.402163797793
sfp,0.0,0.0,5,1.0,-65072,-185870,-119530.54,23149.23295878289
sfp,0.0,0.0,6,0.0,-57058,-163278,-112493.26,19503.121398329018
